movie_id,movie_name,release_date,genre,mpaa,open_theater,prod_budget,country_usa,opening_weekend,us_total_gross,user_rating,votes_user,metascore,votes_critic,MPAA1,MPAA2,MPAA3,MPAA4,MPAA5,MPAA6,genre_type
964,Inherent Vice,12/12/2014,Crime,R,.005,20,1,.328184,7.908547,7.1,14.958,81,3,0,0,0,0,1,0,5
965,Interstellar,11/5/2014,Sci-Fi Adventure,PG-13,.249,165,1,47.51036,186.894702,8.800000000000001,451.857,74,28,0,0,0,1,0,0,2
966,Into The Storm,8/8/2014,Thriller,PG-13,3.434,50,1,17.346427,47.553512,5.9,39.914,44,10,0,0,0,1,0,0,6
968,Jack Ryan: Shadow Recruit,1/17/2014,Action Thriller,PG-13,3.387,60,1,18.034726,50.549107,6.2,79.88500000000001,57,9,0,0,0,1,0,0,6
972,Jersey Boys,6/20/2014,Musical,R,2.905,40,1,13.319371,47.034272,7,16.575,54,3,0,0,0,0,1,0,7
976,John Wick,10/24/2014,Action,R,2.589,20,1,14.15,42.996986,7.2,105.436,67,45,0,0,0,0,1,0,1
977,The Judge,10/10/2014,Drama,R,3.003,50,1,13.116226,47.105085,7.5,70.096,48,9,0,0,0,0,1,0,5
989,The Legend of Hercules,1/10/2014,Action / Adventure,PG-13,2.104,70,1,8.868318,18.821279,4.2,37.663,22,5,0,0,0,1,0,0,1
990,Legends of Oz: Dorothys Return,5/9/2014,Animation,PG,2.658,70,1,3.715931,8.460990000000001,5.9,4.486,25,22,0,0,1,0,0,0,3
991,The LEGO Movie,2/7/2014,Animation,PG,3.775,60,1,69.050279,257.756197,7.8,188.211,83,1,0,0,1,0,0,0,3
992,Lets Be Cops,8/13/2014,Action Comedy,R,2.936,17,1,17.813722,82.38956,6.5,69.898,30,30,0,0,0,0,1,0,4
996,Life of Crime,8/29/2014,Comedy,R,.037,12,1,.131422,.261695,5.8,7.621,60,36,0,0,0,0,1,0,4
1000,Lucy,7/25/2014,Sci-Fi Action,R,3.173,40,0,43.89934,126.546825,6.4,213.088,61,3,0,0,0,0,1,0,1
